"sample","sample_type","habitat","replicate","fasta","read_count"
"tpos1","mock","terrestrial",1,"tpos1-1.fasta",22234
"tnegtag","negative",NA,1,"tnegtag-1.fasta",57
"14ben01","real","freshwater",1,"14ben01-1.fasta",7352
"14ben02","real","freshwater",1,"14ben02-1.fasta",7451
"tpos1","mock","terrestrial",2,"tpos1-2.fasta",27651
"tnegtag","negative",NA,2,"tnegtag-2.fasta",256
"14ben01","real","freshwater",2,"14ben01-2.fasta",7351
"14ben02","real","freshwater",2,"14ben02-2.fasta",4476
"tpos1","mock","terrestrial",3,"tpos1-3.fasta",20597
"tnegtag","negative",NA,3,"tnegtag-3.fasta",75
"14ben01","real","freshwater",3,"14ben01-3.fasta",11446
"14ben02","real","freshwater",3,"14ben02-3.fasta",7501
