"pairwise_asv_identity","cluster","clustering_parameter"
82.3,"different",0.9
81.8,"different",0.9
89.1,"different",0.9
83.1,"different",0.9
82.9,"different",0.9
82.9,"different",0.9
83.5,"different",0.9
99.4,"same",0.9
84,"different",0.9
84,"different",0.9
80.2,"different",0.9
99.4,"same",0.9
81.8,"different",0.9
81.1,"different",0.9
83.4,"different",0.9
83.4,"different",0.9
81.8,"different",0.9
98.3,"same",0.9
96.2,"same",0.9
98.3,"same",0.9
80.3,"different",0.9
81.2,"different",0.9
81.2,"different",0.9
81.8,"different",0.9
81.1,"different",0.9
82.3,"different",0.91
81.8,"different",0.91
89.1,"different",0.91
83.1,"different",0.91
82.9,"different",0.91
82.9,"different",0.91
83.5,"different",0.91
99.4,"same",0.91
84,"different",0.91
84,"different",0.91
80.2,"different",0.91
99.4,"same",0.91
81.8,"different",0.91
81.1,"different",0.91
83.4,"different",0.91
83.4,"different",0.91
81.8,"different",0.91
98.3,"same",0.91
96.2,"same",0.91
98.3,"same",0.91
80.3,"different",0.91
81.2,"different",0.91
81.2,"different",0.91
81.8,"different",0.91
81.1,"different",0.91
82.3,"different",0.92
81.8,"different",0.92
89.1,"different",0.92
83.1,"different",0.92
82.9,"different",0.92
82.9,"different",0.92
83.5,"different",0.92
99.4,"same",0.92
84,"different",0.92
84,"different",0.92
80.2,"different",0.92
99.4,"same",0.92
81.8,"different",0.92
81.1,"different",0.92
83.4,"different",0.92
83.4,"different",0.92
81.8,"different",0.92
98.3,"same",0.92
96.2,"same",0.92
98.3,"same",0.92
80.3,"different",0.92
81.2,"different",0.92
81.2,"different",0.92
81.8,"different",0.92
81.1,"different",0.92
82.3,"different",0.93
81.8,"different",0.93
89.1,"different",0.93
83.1,"different",0.93
82.9,"different",0.93
82.9,"different",0.93
83.5,"different",0.93
99.4,"same",0.93
84,"different",0.93
84,"different",0.93
80.2,"different",0.93
99.4,"same",0.93
81.8,"different",0.93
81.1,"different",0.93
83.4,"different",0.93
83.4,"different",0.93
81.8,"different",0.93
98.3,"same",0.93
96.2,"same",0.93
98.3,"same",0.93
80.3,"different",0.93
81.2,"different",0.93
81.2,"different",0.93
81.8,"different",0.93
81.1,"different",0.93
82.3,"different",0.94
81.8,"different",0.94
89.1,"different",0.94
83.1,"different",0.94
82.9,"different",0.94
82.9,"different",0.94
83.5,"different",0.94
99.4,"same",0.94
84,"different",0.94
84,"different",0.94
80.2,"different",0.94
99.4,"same",0.94
81.8,"different",0.94
81.1,"different",0.94
83.4,"different",0.94
83.4,"different",0.94
81.8,"different",0.94
98.3,"same",0.94
96.2,"same",0.94
98.3,"same",0.94
80.3,"different",0.94
81.2,"different",0.94
81.2,"different",0.94
81.8,"different",0.94
81.1,"different",0.94
82.3,"different",0.95
81.8,"different",0.95
89.1,"different",0.95
83.1,"different",0.95
82.9,"different",0.95
82.9,"different",0.95
83.5,"different",0.95
99.4,"same",0.95
84,"different",0.95
84,"different",0.95
80.2,"different",0.95
99.4,"same",0.95
81.8,"different",0.95
81.1,"different",0.95
83.4,"different",0.95
83.4,"different",0.95
81.8,"different",0.95
98.3,"same",0.95
96.2,"same",0.95
98.3,"same",0.95
80.3,"different",0.95
81.2,"different",0.95
81.2,"different",0.95
81.8,"different",0.95
81.1,"different",0.95
82.3,"different",0.96
81.8,"different",0.96
89.1,"different",0.96
83.1,"different",0.96
82.9,"different",0.96
82.9,"different",0.96
83.5,"different",0.96
99.4,"same",0.96
84,"different",0.96
84,"different",0.96
80.2,"different",0.96
99.4,"same",0.96
81.8,"different",0.96
81.1,"different",0.96
83.4,"different",0.96
83.4,"different",0.96
81.8,"different",0.96
98.3,"same",0.96
96.2,"same",0.96
98.3,"same",0.96
80.3,"different",0.96
81.2,"different",0.96
81.2,"different",0.96
81.8,"different",0.96
81.1,"different",0.96
82.3,"different",0.97
81.8,"different",0.97
89.1,"different",0.97
83.1,"different",0.97
82.9,"different",0.97
82.9,"different",0.97
83.5,"different",0.97
99.4,"same",0.97
84,"different",0.97
84,"different",0.97
80.2,"different",0.97
99.4,"same",0.97
81.8,"different",0.97
81.1,"different",0.97
83.4,"different",0.97
83.4,"different",0.97
81.8,"different",0.97
98.3,"same",0.97
96.2,"same",0.97
98.3,"same",0.97
80.3,"different",0.97
81.2,"different",0.97
81.2,"different",0.97
81.8,"different",0.97
81.1,"different",0.97
82.3,"different",0.98
81.8,"different",0.98
89.1,"different",0.98
83.1,"different",0.98
82.9,"different",0.98
82.9,"different",0.98
83.5,"different",0.98
99.4,"same",0.98
84,"different",0.98
84,"different",0.98
80.2,"different",0.98
99.4,"same",0.98
81.8,"different",0.98
81.1,"different",0.98
83.4,"different",0.98
83.4,"different",0.98
81.8,"different",0.98
98.3,"different",0.98
96.2,"different",0.98
98.3,"same",0.98
80.3,"different",0.98
81.2,"different",0.98
81.2,"different",0.98
81.8,"different",0.98
81.1,"different",0.98
82.3,"different",0.99
81.8,"different",0.99
89.1,"different",0.99
83.1,"different",0.99
82.9,"different",0.99
82.9,"different",0.99
83.5,"different",0.99
99.4,"same",0.99
84,"different",0.99
84,"different",0.99
80.2,"different",0.99
99.4,"same",0.99
81.8,"different",0.99
81.1,"different",0.99
83.4,"different",0.99
83.4,"different",0.99
81.8,"different",0.99
98.3,"different",0.99
96.2,"different",0.99
98.3,"different",0.99
80.3,"different",0.99
81.2,"different",0.99
81.2,"different",0.99
81.8,"different",0.99
81.1,"different",0.99
