"","x"
"1","plot_read_count_by_sample"
"2","get_taxonomic_lineage"
"3","write_fasta_with_counts"
"4","flag_pcr_error"
"5","suggest_pcr_error_cutoff"
"6","write_cutadapt_adapter_fasta"
"7","count_seq"
"8","filter_occurrence_sample"
"9","get_stat"
"10","expand_rows"
"11","filter_occurrence_variant"
"12","download_osf"
"13","count_reads_in_dir"
"14","assign_taxonomy_ltg"
"15","cluster_vsearch"
"16","plot_pairwise_identity_vsearch"
"17","trim_primers_file"
"18","get_stop_codons"
"19","collect_package_info"
"20","write_asv_table"
"21","flag_by_habitat"
"22","random_sample_linux"
"23","read_fasta_to_df"
"24","filter_replicate"
"25","pool_filters"
"26","match_variants_to_mock_species"
"27","cluster_swarm"
"28","cluster_asv"
"29","update_taxids"
"30","find_ltg"
"31","filter_asv_global"
"32","renkonen_dist"
"33","demultiplex_and_trim_strand_plus"
"34","read_vsearch_cluster_size_outmft6"
"35","trim_primers"
"36","pool_markers"
"37","filter_contaminant"
"38","write_taxid_mapping"
"39","filter_indel"
"40","write_fasta_from_df"
"41","merge_fastq_pairs"
"42","count_reads"
"43","check_file_exists"
"44","write_fasta_vector"
"45","filter_min_replicate"
"46","dereplicate"
"47","flag_mock_asv"
"48","is_linux"
"49","suggest_variant_readcount_cutoffs"
"50","check_file_info"
"51","flag_chimera"
"52","split_swarm_clusters"
"53","summarize_by"
"54","collect_log"
"55","check_one_to_one"
"56","denoise_by_swarm"
"57","write_log"
"58","check_heading"
"59","pool_replicates"
"60","plot_pairwise_identity_swarm"
"61","download_zenodo"
"62","plot_read_count_histogram"
"63","reverse_complement"
"64","compute_renkonen_distances"
"65","filter_occurrence_read_count"
"66","pool_datasets"
"67","get_ranked_lineages"
"68","subsample_fasta"
"69","check_dir"
"70","update_asv_list"
"71","classify_control_occurrences"
"72","run_blast"
"73","add_ids"
"74","compute_asv_specific_cutoff"
"75","filter_pcr_error"
"76","pairwise_identity"
"77","remove_leading_ones"
"78","get_program_version"
"79","classify_clusters"
"80","demultiplex_fastq_pairs_strand_plus"
"81","random_sample_r"
"82","suggest_sample_cutoff"
"83","smart_gzip"
"84","run_system2"
"85","demultiplex_and_trim"
"86","concat_files"
"87","filter_chimera"
"88","read_blast_results"
"89","fill_missing_taxa"
"90","filter_stop_codon"
"91","write_cutadapt_adapter_fastq"
"92","read_fasta_seq"
"93","add_read_counts"
"94","demultiplex_fastq_pairs"
"95","plot_renkonen_distance_density"
"96","history_by"
"97","detect_false_negatives"
"98","plot_renkonen_distance_barplot"
"99","concatenate_files"
"100","assign_taxonomy_rdp"
"101","plot_cluster_classification"
"102","pool_by_cluster"
"103","adjust_ltg_resolution"
