"plate","marker","sample","sample_type","habitat","replicate","filename"
"plate1","MFZR","tpos1","mock","terrestrial",1,"run1_MFZR_tpos1_run1_1_mfzr_1_fw_trimmed.fasta.gz"
"plate1","MFZR","tnegtag","negative","NA",1,"run1_MFZR_tnegtag_run1_1_mfzr_1_fw_trimmed.fasta.gz"
"plate1","MFZR","14ben01","real","freshwater",1,"run1_MFZR_14ben01_1_mfzr_1_fw_trimmed.fasta.gz"
"plate1","MFZR","14ben02","real","freshwater",1,"run1_MFZR_14ben02_1_mfzr_1_fw_trimmed.fasta.gz"
"plate1","MFZR","tpos1","mock","terrestrial",2,"run1_MFZR_tpos1_run1_2_mfzr_2_fw_trimmed.fasta.gz"
"plate1","MFZR","tnegtag","negative","NA",2,"run1_MFZR_tnegtag_run1_2_mfzr_2_fw_trimmed.fasta.gz"
"plate1","MFZR","14ben01","real","freshwater",2,"run1_MFZR_14ben01_2_mfzr_2_fw_trimmed.fasta.gz"
"plate1","MFZR","14ben02","real","freshwater",2,"run1_MFZR_14ben02_2_mfzr_2_fw_trimmed.fasta.gz"
"plate1","MFZR","tpos1","mock","terrestrial",3,"run1_MFZR_tpos1_run1_3_mfzr_3_fw_trimmed.fasta.gz"
"plate1","MFZR","tnegtag","negative","NA",3,"run1_MFZR_tnegtag_run1_3_mfzr_3_fw_trimmed.fasta.gz"
"plate1","MFZR","14ben01","real","freshwater",3,"run1_MFZR_14ben01_3_mfzr_3_fw_trimmed.fasta.gz"
"plate1","MFZR","14ben02","real","freshwater",3,"run1_MFZR_14ben02_3_mfzr_3_fw_trimmed.fasta.gz"
