"asv_id","cutoff_asv_spec"
7,0.05
10,0.05
27,0.05
171,0.05
181,0.05
212,0.05
220,0.05
250,0.05
250,0.05
391,0.05
415,0.05
532,0.05
558,0.05
567,0.05
570,0.05
572,0.05
598,0.05
611,0.05
627,0.05
647,0.05
1637,0.05
1678,0.05
1678,0.05
1712,0.05
1732,0.05
1754,0.05
1789,0.05
2191,0.05
2193,0.05
2198,0.05
2218,0.05
2265,0.05
2296,0.05
2374,0.0044
3842,0.0037
4434,0.05
4784,0.05
4790,0.05
5301,0.05
5301,0.05
5759,0.05
5763,0.05
5859,0.05
5920,0.05
6036,0.05
6210,0.05
6322,0.05
7445,0.05
7472,0.05
7477,0.05
8661,0.05
8684,0.05
2,7e-04
3,0.0016
4,3e-04
6,7e-04
2278,0.002
2300,0.05
2303,0.05
2313,0.05
3048,0.0102
4100,0.007
